iter	Passed	Remaining
428	1911	6999
429	1915	6994
430	1921	6993
431	1925	6989
432	1930	6984
433	1934	6981
434	1940	6979
435	1944	6975
436	1950	6975
437	1955	6974
438	1960	6970
439	1964	6965
440	1971	6968
441	1975	6964
442	1979	6958
443	1985	6957
444	1989	6953
445	1994	6948
446	1998	6943
447	2003	6940
448	2009	6940
449	2013	6936
450	2018	6933
451	2022	6928
452	2027	6923
453	2032	6919
454	2037	6917
455	2041	6913
456	2045	6907
457	2056	6922
458	2060	6917
459	2065	6915
460	2070	6913
461	2075	6909
462	2079	6903
463	2085	6903
464	2089	6898
465	2094	6894
466	2099	6891
467	2103	6886
468	2108	6881
469	2112	6876
470	2117	6874
471	2121	6868
472	2126	6864
473	2130	6859
474	2136	6858
475	2141	6856
476	2145	6851
477	2150	6848
478	2155	6843
479	2159	6839
480	2165	6838
481	2169	6834
482	2175	6831
483	2179	6827
484	2184	6824
485	2189	6821
486	2193	6814
487	2200	6816
488	2206	6817
489	2212	6817
490	2215	6809
491	2219	6804
492	2223	6797
493	2227	6790
494	2230	6782
495	2234	6775
496	2238	6768
497	2242	6764
498	2246	6758
499	2250	6751
500	2254	6744
501	2258	6738
502	2262	6732
503	2266	6728
504	2270	6722
505	2275	6718
506	2279	6711
507	2282	6704
508	2286	6698
509	2292	6698
510	2296	6691
511	2300	6685
512	2303	6677
513	2307	6671
514	2311	6663
515	2314	6657
516	2318	6651
517	2322	6645
518	2327	6641
519	2331	6634
520	2335	6629
521	2339	6624
522	2343	6617
523	2346	6610
524	2350	6604
525	2355	6600
526	2358	6593
527	2362	6585
528	2366	6579
529	2369	6572
530	2373	6566
531	2377	6559
532	2380	6553
533	2384	6546
534	2389	6544
535	2394	6539
536	2398	6533
537	2401	6525
538	2406	6523
539	2410	6515
540	2414	6510
541	2417	6502
542	2421	6498
543	2425	6491
544	2429	6485
545	2433	6479
546	2436	6472
547	2441	6467
548	2444	6461
549	2449	6457
550	2454	6456
551	2459	6451
552	2463	6446
553	2467	6439
554	2471	6435
555	2475	6429
556	2479	6423
557	2483	6417
558	2487	6412
559	2490	6405
560	2494	6399
561	2498	6393
562	2503	6389
563	2507	6383
564	2511	6377
565	2514	6371
566	2519	6367
567	2524	6364
568	2528	6358
569	2532	6352
570	2536	6348
571	2541	6344
572	2546	6341
573	2551	6338
574	2555	6332
575	2558	6325
576	2562	6319
577	2566	6313
578	2570	6308
579	2573	6301
580	2577	6295
581	2581	6289
582	2585	6283
583	2589	6279
584	2593	6273
585	2597	6268
586	2602	6265
587	2606	6258
588	2610	6252
589	2613	6245
590	2618	6242
591	2621	6235
592	2625	6230
593	2629	6223
594	2633	6217
595	2636	6211
596	2640	6205
597	2644	6200
598	2647	6193
599	2652	6190
600	2656	6183
601	2660	6177
602	2663	6170
603	2667	6166
604	2671	6160
605	2675	6155
606	2680	6150
607	2684	6146
608	2688	6141
609	2692	6135
610	2695	6128
611	2700	6123
612	2703	6117
613	2707	6112
614	2711	6106
615	2715	6100
616	2719	6095
617	2723	6089
618	2727	6084
619	2731	6079
620	2735	6073
621	2738	6066
622	2742	6061
623	2747	6058
624	2751	6054
625	2755	6048
626	2759	6042
627	2763	6036
628	2767	6032
629	2770	6025
630	2774	6020
631	2779	6015
632	2783	6010
633	2787	6006
634	2792	6001
635	2795	5996
636	2801	5994
637	2805	5988
638	2809	5982
639	2812	5977
640	2816	5971
641	2821	5967
642	2825	5962
643	2829	5957
644	2833	5952
645	2837	5946
646	2841	5941
647	2845	5936
648	2850	5934
649	2854	5928
650	2858	5922
651	2861	5917
652	2866	5912
653	2890	5949
654	2899	5953
655	2903	5949
656	2908	5945
657	2914	5944
658	2918	5939
659	2923	5935
660	2928	5931
661	2932	5926
662	2936	5921
663	2940	5916
664	2944	5911
665	2948	5906
666	2953	5902
667	2957	5896
668	2961	5891
669	2965	5886
670	2969	5881
671	2973	5876
672	2977	5871
673	2982	5867
674	2987	5863
675	2990	5857
676	2994	5852
677	2998	5846
678	3002	5841
679	3006	5836
680	3010	5830
681	3013	5824
682	3018	5820
683	3022	5814
684	3026	5810
685	3030	5804
686	3034	5799
687	3038	5795
688	3047	5798
689	3051	5793
690	3055	5788
691	3059	5783
692	3063	5777
693	3067	5772
694	3071	5767
695	3075	5762
696	3079	5757
697	3083	5751
698	3087	5746
699	3092	5743
700	3096	5738
701	3100	5732
702	3103	5726
703	3108	5723
704	3113	5718
705	3117	5714
706	3122	5711
707	3129	5710
708	3133	5705
709	3136	5699
710	3141	5695
711	3145	5690
712	3149	5685
713	3153	5679
714	3157	5674
715	3161	5669
716	3165	5663
717	3169	5658
718	3175	5658
719	3180	5653
720	3183	5647
721	3187	5641
722	3192	5638
723	3196	5633
724	3200	5628
725	3205	5624
726	3208	5618
727	3212	5613
728	3216	5607
729	3219	5601
730	3224	5598
731	3229	5593
732	3232	5587
733	3236	5582
734	3242	5580
735	3246	5574
736	3250	5569
737	3254	5564
738	3259	5561
739	3262	5555
740	3266	5550
741	3271	5546
742	3275	5541
743	3279	5535
744	3282	5530
745	3288	5527
746	3293	5524
747	3297	5519
748	3301	5514
749	3305	5509
750	3309	5504
751	3313	5499
752	3317	5493
753	3323	5491
754	3327	5486
755	3331	5481
756	3334	5475
757	3339	5472
758	3343	5466
759	3347	5461
760	3351	5457
761	3356	5452
762	3359	5447
763	3364	5442
764	3368	5438
765	3373	5434
766	3377	5430
767	3381	5424
768	3385	5419
769	3389	5414
770	3394	5410
771	3397	5404
772	3401	5400
773	3406	5395
774	3410	5390
775	3413	5384
776	3418	5380
777	3422	5376
778	3426	5371
779	3430	5366
780	3436	5363
781	3441	5360
782	3445	5355
783	3449	5350
784	3454	5347
785	3459	5343
786	3463	5338
787	3467	5333
788	3471	5328
789	3476	5324
790	3480	5320
791	3485	5316
792	3489	5311
793	3493	5306
794	3497	5300
795	3503	5298
796	3506	5293
797	3511	5288
798	3514	5283
799	3520	5280
800	3523	5274
801	3528	5270
802	3532	5265
803	3538	5264
804	3542	5259
805	3547	5254
806	3552	5251
807	3555	5245
808	3559	5240
809	3563	5235
810	3569	5233
811	3574	5229
812	3578	5224
813	3583	5220
814	3588	5217
815	3591	5211
816	3595	5206
817	3600	5202
818	3604	5197
819	3607	5191
820	3611	5186
821	3615	5180
822	3620	5177
823	3623	5171
824	3627	5166
825	3632	5162
826	3636	5158
827	3640	5152
828	3644	5147
829	3649	5144
830	3652	5138
831	3656	5133
832	3660	5128
833	3665	5124
834	3669	5119
835	3673	5114
836	3676	5108
837	3680	5103
838	3684	5099
839	3689	5094
840	3692	5088
841	3698	5085
842	3701	5080
843	3706	5076
844	3709	5070
845	3714	5067
846	3719	5062
847	3723	5058
848	3729	5055
849	3733	5051
850	3738	5047
851	3741	5041
852	3747	5038
853	3750	5033
854	3754	5028
855	3758	5022
856	3764	5020
857	3768	5016
858	3772	5011
859	3780	5011
860	3784	5006
861	3788	5001
862	3792	4996
863	3796	4991
864	3800	4987
865	3804	4981
866	3808	4976
867	3812	4972
868	3817	4967
869	3820	4962
870	3824	4957
871	3830	4954
872	3834	4950
873	3839	4946
874	3843	4941
875	3847	4937
876	3852	4933
877	3856	4928
878	3861	4924
879	3865	4919
880	3869	4915
881	3874	4910
882	3879	4907
883	3883	4902
884	3887	4897
885	3890	4892
886	3896	4888
887	3899	4883
888	3904	4878
889	3909	4875
890	3912	4869
891	3917	4865
892	3921	4860
893	3925	4856
894	3929	4851
895	3933	4846
896	3936	4840
897	3942	4837
898	3947	4834
899	3951	4829
900	3955	4825
901	3959	4819
902	3963	4815
903	3967	4809
904	3970	4804
905	3976	4801
906	3980	4796
907	3984	4792
908	3988	4786
909	3992	4782
910	3996	4776
911	3999	4771
912	4003	4766
913	4009	4763
914	4013	4759
915	4017	4753
916	4020	4748
917	4025	4744
918	4030	4741
919	4034	4736
920	4038	4731
921	4042	4726
922	4046	4721
923	4050	4716
924	4053	4710
925	4057	4706
926	4061	4701
927	4065	4696
928	4069	4691
929	4073	4687
930	4077	4681
931	4081	4676
932	4085	4671
933	4089	4667
934	4093	4662
935	4097	4657
936	4100	4652
937	4104	4647
938	4108	4642
939	4111	4636
940	4116	4632
941	4124	4632
942	4128	4628
943	4133	4623
944	4137	4619
945	4141	4614
946	4145	4609
947	4149	4604
948	4157	4603
949	4161	4599
950	4164	4593
951	4168	4589
952	4172	4584
953	4176	4579
954	4180	4574
955	4183	4568
956	4187	4564
957	4191	4558
958	4195	4554
959	4199	4549
960	4203	4545
961	4208	4540
962	4212	4536
963	4216	4531
964	4221	4527
965	4225	4523
966	4230	4519
967	4235	4515
968	4240	4511
969	4244	4507
970	4332	4591
971	4343	4593
972	4359	4601
973	4363	4596
974	4368	4592
975	4371	4587
976	4376	4582
977	4379	4577
978	4384	4572
979	4388	4567
980	4391	4562
981	4395	4556
982	4400	4552
983	4404	4547
984	4407	4542
985	4412	4537
986	4416	4532
987	4421	4528
988	4424	4523
989	4428	4517
990	4432	4513
991	4436	4508
992	4439	4502
993	4444	4497
994	4448	4492
995	4452	4488
996	4456	4483
997	4460	4478
998	4463	4472
999	4468	4468
1000	4471	4463
1001	4476	4458
1002	4479	4452
1003	4484	4449
1004	4488	4444
1005	4492	4439
1006	4498	4435
1007	4501	4430
1008	4505	4425
1009	4509	4420
1010	4516	4417
1011	4519	4412
1012	4524	4408
1013	4528	4403
1014	4532	4398
1015	4536	4393
1016	4540	4388
1017	4544	4384
1018	4550	4380
1019	4555	4376
1020	4559	4372
1021	4564	4368
1022	4568	4362
1023	4572	4357
1024	4576	4353
1025	4580	4348
1026	4584	4343
1027	4588	4338
1028	4593	4334
1029	4598	4330
1030	4601	4325
1031	4606	4320
1032	4609	4315
1033	4614	4310
1034	4618	4306
1035	4622	4301
1036	4626	4296
1037	4630	4291
1038	4633	4286
1039	4637	4281
1040	4641	4275
1041	4646	4272
1042	4650	4267
1043	4654	4262
1044	4658	4257
1045	4663	4253
1046	4667	4248
1047	4671	4243
1048	4675	4238
1049	4680	4234
1050	4684	4229
1051	4687	4224
1052	4691	4219
1053	4697	4216
1054	4701	4210
1055	4704	4205
1056	4708	4200
1057	4713	4196
1058	4717	4191
1059	4720	4186
1060	4725	4181
1061	4729	4177
1062	4733	4172
1063	4737	4167
1064	4741	4163
1065	4746	4158
1066	4751	4154
1067	4755	4150
1068	4759	4145
1069	4765	4142
1070	4770	4138
1071	4775	4134
1072	4779	4129
1073	4784	4124
1074	4787	4119
1075	4792	4115
1076	4796	4110
1077	4800	4105
1078	4804	4100
1079	4807	4095
1080	4813	4092
1081	4817	4086
1082	4820	4081
1083	4825	4077
1084	4829	4072
1085	4832	4067
1086	4836	4062
1087	4839	4056
1088	4843	4052
1089	4847	4046
1090	4851	4041
1091	4854	4036
1092	4859	4032
1093	4863	4027
1094	4867	4022
1095	4870	4017
1096	4874	4012
1097	4879	4008
1098	4884	4004
1099	4887	3999
1100	4893	3995
1101	4897	3990
1102	4901	3985
1103	4904	3980
1104	4908	3975
1105	4912	3970
1106	4915	3965
1107	4919	3960
1108	4924	3956
1109	4928	3951
1110	4932	3946
1111	4935	3941
1112	4939	3936
1113	4943	3931
1114	4947	3927
1115	4951	3922
1116	4954	3916
1117	4959	3912
1118	4962	3907
1119	4966	3902
1120	4970	3897
1121	4974	3892
1122	4978	3887
1123	4982	3882
1124	4985	3877
1125	4991	3874
1126	4994	3869
1127	4998	3864
1128	5002	3859
1129	5006	3854
1130	5011	3850
1131	5015	3845
1132	5019	3841
1133	5025	3838
1134	5032	3835
1135	5037	3831
1136	5042	3826
1137	5045	3821
1138	5049	3816
1139	5052	3811
1140	5057	3807
1141	5061	3802
1142	5065	3798
1143	5069	3793
1144	5075	3789
1145	5078	3784
1146	5082	3779
1147	5085	3774
1148	5089	3769
1149	5092	3764
1150	5096	3759
1151	5100	3754
1152	5105	3750
1153	5108	3745
1154	5112	3740
1155	5115	3735
1156	5119	3730
1157	5123	3725
1158	5127	3720
1159	5130	3715
1160	5134	3710
1161	5139	3706
1162	5143	3701
1163	5147	3697
1164	5151	3691
1165	5155	3687
1166	5159	3683
1167	5163	3678
1168	5167	3673
1169	5171	3668
1170	5176	3664
1171	5179	3659
1172	5184	3655
1173	5191	3652
1174	5195	3647
1175	5199	3643
1176	5205	3639
1177	5209	3634
1178	5213	3630
1179	5216	3625
1180	5222	3621
1181	5226	3616
1182	5230	3612
1183	5234	3607
1184	5238	3603
1185	5242	3598
1186	5246	3593
1187	5253	3590
1188	5257	3585
1189	5261	3581
1190	5265	3576
1191	5270	3572
1192	5274	3567
1193	5278	3563
1194	5282	3558
1195	5286	3554
1196	5291	3549
1197	5295	3545
1198	5300	3540
1199	5304	3536
1200	5307	3531
1201	5312	3526
1202	5316	3522
1203	5321	3518
1204	5325	3513
1205	5329	3508
1206	5333	3504
1207	5337	3499
1208	5342	3495
1209	5345	3490
1210	5351	3486
1211	5355	3482
1212	5359	3477
1213	5363	3472
1214	5368	3468
1215	5373	3464
1216	5376	3459
1217	5381	3455
1218	5386	3450
1219	5391	3447
1220	5396	3442
1221	5401	3438
1222	5405	3434
1223	5408	3429
1224	5412	3424
1225	5417	3420
1226	5421	3415
1227	5426	3411
1228	5429	3406
1229	5435	3402
1230	5439	3398
1231	5443	3393
1232	5448	3389
1233	5452	3384
1234	5456	3380
1235	5460	3375
1236	5465	3371
1237	5470	3367
1238	5474	3362
1239	5479	3358
1240	5484	3354
1241	5488	3349
1242	5492	3344
1243	5497	3341
1244	5501	3336
1245	5506	3332
1246	5509	3326
1247	5514	3322
1248	5518	3318
1249	5522	3313
1250	5526	3308
1251	5530	3304
1252	5535	3300
1253	5539	3295
1254	5542	3290
1255	5547	3285
1256	5551	3281
1257	5555	3276
1258	5559	3272
1259	5564	3268
1260	5569	3263
1261	5572	3258
1262	5576	3254
1263	5580	3249
1264	5585	3245
1265	5590	3241
1266	5594	3236
1267	5600	3233
1268	5604	3228
1269	5608	3223
1270	5614	3220
1271	5617	3215
1272	5622	3210
1273	5626	3206
1274	5630	3201
1275	5634	3196
1276	5638	3192
1277	5642	3187
1278	5647	3183
1279	5651	3178
1280	5655	3174
1281	5660	3169
1282	5664	3165
1283	5668	3160
1284	5672	3156
1285	5677	3152
1286	5681	3147
1287	5684	3142
1288	5688	3137
1289	5692	3133
1290	5696	3128
1291	5700	3123
1292	5704	3118
1293	5709	3115
1294	5713	3110
1295	5718	3106
1296	5721	3101
1297	5726	3097
1298	5730	3092
1299	5734	3087
1300	5737	3082
1301	5745	3080
1302	5750	3075
1303	5753	3071
1304	5759	3067
1305	5765	3063
1306	5770	3059
1307	5774	3055
1308	5778	3050
1309	5782	3045
1310	5786	3041
1311	5790	3036
1312	5795	3032
1313	5799	3027
1314	5803	3022
1315	5807	3018
1316	5811	3013
1317	5814	3008
1318	5819	3004
1319	5823	3000
1320	5828	2995
1321	5832	2991
1322	5835	2986
1323	5840	2982
1324	5844	2977
1325	5849	2973
1326	5852	2968
1327	5856	2963
1328	5860	2958
1329	5864	2954
1330	5868	2949
1331	5872	2945
1332	5876	2940
1333	5880	2935
1334	5884	2930
1335	5887	2926
1336	5892	2921
1337	5895	2917
1338	5900	2912
1339	5904	2908
1340	5909	2904
1341	5913	2899
1342	5917	2894
1343	5922	2890
1344	5928	2886
1345	5931	2882
1346	5937	2878
1347	5941	2873
1348	5945	2869
1349	5949	2864
1350	5954	2860
1351	5958	2855
1352	5962	2851
1353	5966	2846
1354	5971	2842
1355	5975	2837
1356	5979	2833
1357	5983	2828
1358	5989	2824
1359	5993	2820
1360	5997	2816
1361	6002	2811
1362	6007	2807
1363	6010	2802
1364	6015	2798
1365	6023	2795
1366	6030	2792
1367	6036	2788
1368	6040	2783
1369	6043	2779
1370	6047	2774
1371	6051	2769
1372	6056	2765
1373	6060	2760
1374	6064	2756
1375	6069	2752
1376	6073	2747
1377	6078	2743
1378	6081	2738
1379	6087	2734
1380	6090	2730
1381	6095	2725
1382	6098	2720
1383	6103	2716
1384	6107	2712
1385	6111	2707
1386	6115	2702
1387	6120	2698
1388	6125	2694
1389	6129	2689
1390	6136	2686
1391	6140	2682
1392	6144	2677
1393	6148	2672
1394	6152	2668
1395	6156	2663
1396	6159	2658
1397	6163	2654
1398	6168	2649
1399	6171	2645
1400	6175	2640
1401	6179	2635
1402	6184	2631
1403	6188	2627
1404	6193	2622
1405	6196	2617
1406	6201	2613
1407	6204	2608
1408	6208	2604
1409	6211	2599
1410	6215	2594
1411	6219	2589
1412	6222	2585
1413	6227	2580
1414	6231	2576
1415	6235	2571
1416	6239	2567
1417	6244	2563
1418	6250	2559
1419	6253	2554
1420	6258	2549
1421	6261	2545
1422	6268	2541
1423	6273	2537
1424	6277	2532
1425	6281	2528
1426	6285	2523
1427	6289	2519
1428	6293	2514
1429	6299	2510
1430	6302	2506
1431	6306	2501
1432	6310	2496
1433	6314	2492
1434	6318	2487
1435	6322	2483
1436	6326	2478
1437	6332	2474
1438	6336	2470
1439	6340	2465
1440	6343	2460
1441	6347	2456
1442	6351	2451
1443	6356	2447
1444	6359	2442
1445	6364	2438
1446	6367	2433
1447	6371	2428
1448	6375	2424
1449	6382	2420
1450	6385	2416
1451	6389	2411
1452	6393	2406
1453	6398	2402
1454	6401	2397
1455	6405	2393
1456	6410	2388
1457	6413	2384
1458	6417	2379
1459	6420	2374
1460	6424	2370
1461	6428	2365
1462	6432	2361
1463	6436	2356
1464	6440	2351
1465	6444	2347
1466	6448	2343
1467	6452	2338
1468	6457	2334
1469	6461	2329
1470	6465	2325
1471	6469	2320
1472	6473	2316
1473	6479	2312
1474	6483	2307
1475	6487	2302
1476	6490	2298
1477	6495	2293
1478	6498	2289
1479	6502	2284
1480	6506	2280
1481	6510	2275
1482	6514	2271
1483	6519	2266
1484	6522	2262
1485	6527	2257
1486	6531	2253
1487	6536	2249
1488	6540	2244
1489	6545	2240
1490	6549	2235
1491	6553	2231
1492	6558	2227
1493	6562	2222
1494	6566	2218
1495	6570	2213
1496	6574	2209
1497	6579	2204
1498	6583	2200
1499	6586	2195
1500	6590	2191
1501	6595	2186
1502	6599	2182
1503	6603	2177
1504	6608	2173
1505	6612	2169
1506	6616	2164
1507	6620	2159
1508	6624	2155
1509	6631	2151
1510	6635	2147
1511	6639	2142
1512	6644	2138
1513	6648	2134
1514	6652	2129
1515	6657	2125
1516	6661	2120
1517	6665	2116
1518	6669	2111
1519	6674	2107
1520	6678	2103
1521	6681	2098
1522	6685	2093
1523	6690	2089
1524	6694	2085
1525	6698	2080
1526	6702	2076
1527	6707	2071
1528	6712	2067
1529	6716	2063
1530	6720	2058
1531	6724	2054
1532	6729	2049
1533	6732	2045
1534	6737	2040
1535	6741	2036
1536	6745	2032
1537	6750	2027
1538	6755	2023
1539	6760	2019
1540	6764	2014
1541	6768	2010
1542	6773	2006
1543	6777	2001
1544	6781	1997
1545	6785	1992
1546	6791	1988
1547	6796	1984
1548	6801	1980
1549	6806	1975
1550	6810	1971
1551	6814	1966
1552	6817	1962
1553	6822	1958
1554	6826	1953
1555	6830	1948
1556	6833	1944
1557	6838	1940
1558	6842	1935
1559	6846	1931
1560	6850	1926
1561	6855	1922
1562	6858	1917
1563	6862	1913
1564	6866	1908
1565	6874	1905
1566	6878	1900
1567	6882	1896
1568	6887	1891
1569	6891	1887
1570	6895	1882
1571	6898	1878
1572	6904	1874
1573	6908	1869
1574	6913	1865
1575	6918	1861
1576	6922	1856
1577	6927	1852
1578	6930	1847
1579	6935	1843
1580	6939	1838
1581	6943	1834
1582	6947	1830
1583	6951	1825
1584	6956	1821
1585	6960	1816
1586	6964	1812
1587	6970	1808
1588	6974	1803
1589	6978	1799
1590	6981	1794
1591	6987	1790
1592	6990	1786
1593	6994	1781
1594	6998	1777
1595	7003	1772
1596	7007	1768
1597	7011	1763
1598	7015	1759
1599	7020	1755
1600	7026	1751
1601	7029	1746
1602	7035	1742
1603	7038	1737
1604	7043	1733
1605	7046	1728
1606	7051	1724
1607	7054	1719
1608	7058	1715
1609	7062	1710
1610	7067	1706
1611	7070	1701
1612	7074	1697
1613	7078	1692
1614	7083	1688
1615	7086	1683
1616	7090	1679
1617	7094	1674
1618	7100	1670
1619	7104	1666
1620	7108	1662
1621	7112	1657
1622	7118	1653
1623	7122	1649
1624	7126	1644
1625	7130	1640
1626	7134	1635
1627	7138	1631
1628	7142	1626
1629	7146	1622
1630	7150	1617
1631	7154	1613
1632	7159	1609
1633	7164	1604
1634	7169	1600
1635	7173	1595
1636	7176	1591
1637	7180	1586
1638	7183	1582
1639	7187	1577
1640	7191	1573
1641	7194	1568
1642	7199	1564
1643	7204	1560
1644	7207	1555
1645	7212	1551
1646	7216	1546
1647	7220	1542
1648	7224	1537
1649	7228	1533
1650	7233	1529
1651	7237	1524
1652	7241	1520
1653	7247	1516
1654	7250	1511
1655	7254	1506
1656	7257	1502
1657	7262	1497
1658	7265	1493
1659	7269	1488
1660	7272	1484
1661	7276	1479
1662	7280	1475
1663	7283	1470
1664	7287	1466
1665	7290	1461
1666	7295	1457
1667	7301	1453
1668	7310	1449
1669	7316	1445
1670	7320	1441
1671	7324	1436
1672	7330	1432
1673	7335	1428
1674	7339	1424
1675	7344	1419
1676	7347	1415
1677	7351	1410
1678	7355	1406
1679	7362	1402
1680	7365	1397
1681	7369	1393
1682	7373	1388
1683	7378	1384
1684	7382	1380
1685	7385	1375
1686	7389	1371
1687	7395	1366
1688	7399	1362
