iter	RMSE
146	0.6661502835
147	0.6655633147
148	0.664638881
149	0.663831138
150	0.6626088894
151	0.6615821615
152	0.6610520484
153	0.6598398332
154	0.6587531917
155	0.6580715999
156	0.6567434168
157	0.6561878063
158	0.6556465744
159	0.6551695109
160	0.6546988995
161	0.653824682
162	0.6531919872
163	0.6526417546
164	0.6517387909
165	0.6510047455
166	0.6503406425
167	0.6495286214
168	0.6484910575
169	0.6480413404
170	0.6476787878
171	0.6468871053
172	0.6464564844
173	0.6458583769
174	0.64514376
175	0.6440348844
176	0.6435343599
177	0.6428412967
178	0.6421237393
179	0.6414022334
180	0.6410056244
181	0.6401110101
182	0.6396210977
183	0.6392526621
184	0.6388296544
185	0.6384023696
186	0.6375956396
187	0.6371615528
188	0.6363558655
189	0.6354541388
190	0.634844621
191	0.6343276351
192	0.6334803194
193	0.6323705262
194	0.6316206553
195	0.6310022399
196	0.6300013207
197	0.6296288529
198	0.6287253401
199	0.6277519667
200	0.6273779747
201	0.6267752693
202	0.6264806237
203	0.6256852818
204	0.6250180553
205	0.6238263508
206	0.6232137666
207	0.6222308458
208	0.6213406104
209	0.6205282714
210	0.6201552346
211	0.6194288887
212	0.6191699398
213	0.618337132
214	0.6180210397
215	0.6173725995
216	0.6161363661
217	0.6145125872
218	0.6136358369
219	0.6123786262
220	0.6113752458
221	0.6107700147
222	0.6100192904
223	0.6095064035
224	0.6091523344
225	0.6089159062
226	0.6084147879
227	0.607721277
228	0.607539321
229	0.606662738
230	0.6056609747
231	0.6045002458
232	0.6034265354
233	0.6020354249
234	0.600988421
235	0.6002091524
236	0.5996675079
237	0.5986835833
238	0.5977730052
239	0.5973946902
240	0.5962597494
241	0.5956066193
242	0.5949536014
243	0.5944318663
244	0.5938917307
245	0.593016155
246	0.5925353102
247	0.591481676
248	0.5904176562
249	0.5896075065
250	0.5884846057
251	0.5874722413
252	0.5869123145
253	0.5866511729
254	0.5863778639
255	0.5857549976
256	0.5848035327
257	0.5840004721
258	0.5832428097
259	0.5827778808
260	0.5812779559
261	0.580147348
262	0.579789989
263	0.5786037092
264	0.5783919654
265	0.5780550795
266	0.5762940748
267	0.5758522676
268	0.5741961728
269	0.5735935387
270	0.5733283132
271	0.5724104098
272	0.5719901945
273	0.5717108151
274	0.5704725388
275	0.5702001453
276	0.568862298
277	0.567925542
278	0.5675233451
279	0.5670390456
280	0.5667043555
281	0.5655381902
282	0.5653408002
283	0.5641198691
284	0.563514705
285	0.5625264246
286	0.5621622474
287	0.5614862499
288	0.5612739774
289	0.5606084828
290	0.5597798071
291	0.559449885
292	0.5581168029
293	0.5567522777
294	0.5554886702
295	0.554710762
296	0.5544652931
297	0.5535556408
298	0.5524916755
299	0.5520636337
300	0.5516476218
301	0.5510379622
302	0.5495206276
303	0.5483188857
304	0.5471564962
305	0.5469265735
306	0.5461439741
307	0.545937976
308	0.5446950433
309	0.5438323149
310	0.5431538173
311	0.5417742423
312	0.5415775902
313	0.540482316
314	0.5393562526
315	0.5383205738
316	0.5380948772
317	0.5366626918
318	0.5351555658
319	0.5348867484
320	0.533815619
321	0.5336329387
322	0.5323341577
323	0.5311488293
324	0.5305682203
325	0.529698085
326	0.5286718337
327	0.5284019618
328	0.5281544683
329	0.527148718
330	0.5268383317
331	0.5265991802
332	0.5263710093
333	0.525155806
334	0.5243535062
335	0.5235668026
336	0.5223562814
337	0.5215307769
338	0.5202985261
339	0.5194038341
340	0.518364643
341	0.5171020324
342	0.5160439803
343	0.5150811672
344	0.5148560977
345	0.5140055407
346	0.5128902277
347	0.5127178089
348	0.5125003836
349	0.5115226834
350	0.5113247307
351	0.5105588256
352	0.5094643848
353	0.5084855318
354	0.5073524279
355	0.5063212029
356	0.5052046398
357	0.504351704
358	0.5038495108
359	0.503267387
360	0.5023686573
361	0.5016156054
362	0.5007895104
363	0.5000120376
364	0.4993283824
365	0.4985830122
366	0.4976434246
367	0.4973506703
368	0.4967434039
369	0.4958975987
370	0.494961233
371	0.4936494843
372	0.4934932723
373	0.4933990964
374	0.49324588
375	0.4920227383
376	0.4912656845
377	0.4905649653
378	0.4897961315
379	0.4887282692
380	0.48755066
381	0.4868723409
382	0.4867128272
383	0.4856865612
384	0.4853183523
385	0.485161746
386	0.4849460048
387	0.4844676698
388	0.4833447356
389	0.4826089326
390	0.4822057769
391	0.4814790471
392	0.480634816
393	0.4803821677
394	0.4798847569
395	0.4793386182
396	0.4783066428
397	0.4774051212
398	0.47640181
399	0.4753636562
400	0.4745701962
401	0.4744254621
402	0.4736296196
403	0.472976887
404	0.4722826415
405	0.4715661001
406	0.4712031143
407	0.470257557
408	0.4693203934
409	0.4682507945
410	0.467520969
411	0.4668741426
412	0.4661228291
413	0.4653330283
414	0.4647234831
415	0.4638685597
416	0.4629849871
417	0.4621377496
418	0.4620169785
419	0.4611730618
420	0.4606283225
421	0.4599789843
422	0.4590800267
423	0.4582014094
424	0.4573909954
425	0.4565577132
426	0.4564676322
427	0.4563781536
428	0.4562998536
429	0.4561464355
430	0.4551397621
431	0.4549406156
432	0.4541493178
433	0.4535330133
434	0.452641749
435	0.4525553135
436	0.4519561914
437	0.4513085447
438	0.4506048001
439	0.449635953
440	0.4486778997
441	0.4478126
442	0.447180048
443	0.4470554105
444	0.4460636589
445	0.4455615023
446	0.4448698146
447	0.4443823863
448	0.4440367313
449	0.4433535711
450	0.4432712012
451	0.4426101129
452	0.4418536154
453	0.4417726322
454	0.4406090803
455	0.4405296523
456	0.4404038526
457	0.4396178129
458	0.4388772723
459	0.4380369819
460	0.4373983787
461	0.4369892201
462	0.4361124511
463	0.4355515286
464	0.4346285591
465	0.433823706
466	0.433750442
467	0.4336259426
468	0.4330623291
469	0.4323036884
470	0.4319148919
471	0.4313183864
472	0.430233685
473	0.4294407822
474	0.4288907249
475	0.4282742769
476	0.4281902784
477	0.427120195
478	0.4265511727
479	0.4264106972
480	0.4260003424
481	0.4259115622
482	0.425132934
483	0.4241878327
484	0.423628167
485	0.4235343393
486	0.4230264701
487	0.422854175
488	0.4223609399
489	0.4217736463
490	0.4209758865
491	0.4203830241
492	0.4199215725
493	0.4191516841
494	0.4190425339
495	0.4189310626
496	0.4188534212
497	0.4180884538
498	0.4174511862
499	0.4167202446
500	0.4160936098
501	0.4155621089
502	0.4150250963
503	0.4142019762
504	0.4136149137
505	0.4130869993
506	0.4130134395
507	0.4124459307
508	0.4116678461
509	0.4108813562
510	0.4102622177
511	0.4101146257
512	0.4099507468
513	0.4092068349
514	0.4087612599
515	0.4082897787
516	0.4075646549
517	0.4074312872
518	0.4068363899
519	0.4064384605
520	0.4055238817
521	0.404954647
522	0.404114661
523	0.4035267695
524	0.4034115968
525	0.4026100527
526	0.4025405539
527	0.4017498287
528	0.4012252647
529	0.400265402
530	0.3991966039
531	0.3982018533
532	0.3978735622
533	0.39680018
534	0.396512075
535	0.3957856089
536	0.3951488033
537	0.3944414286
538	0.3939132487
539	0.3938428181
540	0.3934044351
541	0.3933459036
542	0.3932692178
543	0.3928310952
544	0.3922922596
545	0.3915317671
546	0.3913310181
547	0.3907852064
548	0.3903139849
549	0.3891492065
550	0.3880972274
551	0.3879087005
552	0.387455319
553	0.3869597378
554	0.3862509838
555	0.3854256642
556	0.3848498574
557	0.3846325674
558	0.3839469817
559	0.3829372484
560	0.3822805677
561	0.3814581344
562	0.3809136212
563	0.3805235407
564	0.3797463861
565	0.3795757516
566	0.37951468
567	0.3791439172
568	0.3786418895
569	0.3785273812
570	0.3780400185
571	0.3774936161
572	0.3772155704
573	0.376752726
574	0.3758736822
575	0.3749717226
576	0.3742605112
577	0.3735127164
578	0.3731788241
579	0.3725857269
580	0.3722758541
581	0.3716931787
582	0.3716306095
583	0.3712728191
584	0.3708903815
585	0.3702902226
586	0.3695972166
587	0.3694844735
588	0.3688512352
589	0.3687873709
590	0.3682330199
591	0.3681669204
592	0.3677646314
593	0.3669221634
594	0.3668653816
595	0.3663258057
596	0.3655307409
597	0.364839244
598	0.3645496982
599	0.3639768835
600	0.3639052275
601	0.363845621
602	0.3634528032
603	0.3633980226
604	0.3627281805
605	0.3620459478
606	0.3617025046
607	0.3615754499
608	0.3614583987
609	0.3606929006
610	0.3599790363
611	0.3593406701
612	0.3587819232
613	0.358674086
614	0.3585729933
615	0.3580379363
616	0.357981405
617	0.3575512995
618	0.356804277
619	0.3565336304
620	0.3564355161
621	0.356005489
622	0.3559614934
623	0.355501305
624	0.3551292803
625	0.3548085579
626	0.3547061265
627	0.3540097435
628	0.3531214307
629	0.35270462
630	0.3519132095
631	0.3513660811
632	0.3513181935
633	0.3508121858
634	0.3503359632
635	0.3495861235
636	0.3488578332
637	0.3482635125
638	0.3479661314
639	0.3479153524
640	0.3478127478
641	0.3474086864
642	0.3470704618
643	0.3463024666
644	0.3458199403
645	0.3452455023
646	0.3450525926
647	0.3445857308
648	0.3441667925
649	0.3435432093
650	0.3434652551
651	0.3429600739
652	0.3426315717
653	0.3421272316
654	0.3420521176
655	0.3413903788
656	0.3406811596
657	0.3404337109
658	0.3399569853
659	0.3395792668
660	0.3392175636
661	0.3385065923
662	0.3380437566
663	0.3374527117
664	0.3370070325
665	0.3365490082
666	0.3360994826
667	0.3360583674
668	0.3354559474
669	0.3351103351
670	0.3345931942
671	0.3340523831
672	0.3334222698
673	0.332698175
674	0.3320226112
675	0.3314680443
676	0.3310165018
677	0.3304016298
678	0.3303654767
679	0.3296072449
680	0.3293498994
681	0.3288087979
682	0.3286517073
683	0.328352865
684	0.3277821578
685	0.3275834116
686	0.3273785776
687	0.3267793849
688	0.3267420539
689	0.3263721726
690	0.3257224904
691	0.3251808821
692	0.3251367182
693	0.3246261737
694	0.3241191535
695	0.324078298
696	0.3235568739
697	0.3231500042
698	0.3229377882
699	0.3220988603
700	0.3218947991
701	0.3214399891
702	0.3207407672
703	0.3206176391
704	0.3205729517
705	0.3200771999
706	0.3200333172
707	0.3195319871
708	0.3190163321
709	0.3186166123
710	0.3182001358
711	0.3181654389
712	0.317689789
713	0.3170122759
714	0.3166953871
715	0.3162243372
716	0.316133403
717	0.315531575
718	0.3151437435
719	0.3144924008
720	0.3139927492
721	0.3136195244
722	0.3133985307
723	0.3132771209
724	0.3130266668
725	0.3124613918
726	0.3120916289
727	0.3120517291
728	0.3119624982
729	0.3113605832
730	0.3107119719
731	0.3100802457
732	0.3100451851
733	0.3100027914
734	0.3093375114
735	0.309304175
736	0.3086779302
737	0.3082583198
738	0.30752906
739	0.3069902592
740	0.3066703579
741	0.3060014278
742	0.3055350628
743	0.3051195809
744	0.3044420606
745	0.3040710277
746	0.3036247283
747	0.3031209103
748	0.3026887574
749	0.3021000993
750	0.3016375371
751	0.3013380718
752	0.3012696084
753	0.3008380073
754	0.3003525215
755	0.2998546451
756	0.2994509159
757	0.298939578
758	0.298353346
759	0.2978207478
760	0.2971811909
761	0.2966527458
762	0.2960630725
763	0.2956996372
764	0.2953198625
765	0.2946850743
766	0.2941231525
767	0.2936712021
768	0.29312945
769	0.2925518931
770	0.2921484399
771	0.2914610619
772	0.291433247
773	0.2907928029
774	0.2904520735
775	0.2901803093
776	0.2898900066
777	0.2893759203
778	0.2889171754
779	0.2887139493
780	0.2883422141
781	0.2877417233
782	0.2872945072
783	0.2867556349
784	0.2861031935
785	0.2856889035
786	0.2856569159
787	0.2852328275
788	0.2851932675
789	0.2846452208
790	0.2843517014
791	0.2837657321
792	0.2833111241
793	0.2828244564
794	0.2825544123
795	0.2821818667
796	0.2816454169
797	0.2811195083
798	0.2807420862
799	0.2802485787
800	0.2797308854
801	0.278993987
802	0.2784869377
803	0.2780989974
804	0.2776957887
805	0.277052576
806	0.2766834871
807	0.2763127987
808	0.2760031154
809	0.2755774781
810	0.2751575041
811	0.2748573381
812	0.2748058942
813	0.2745210201
814	0.2740495798
815	0.2739938945
816	0.2739272211
817	0.2737535646
818	0.2733282344
819	0.2731389538
820	0.2731035048
821	0.2727454461
822	0.2721815304
823	0.2721059271
824	0.2716167216
825	0.271178641
826	0.2709335786
827	0.2704784393
828	0.2700858316
829	0.2700560493
830	0.269600099
831	0.2692387393
832	0.2688119292
833	0.2684465963
834	0.268001682
835	0.2675760529
836	0.2672289161
837	0.2667083906
838	0.2665942035
839	0.2662212325
840	0.2658616958
841	0.2655159551
842	0.2650391225
843	0.2645111295
844	0.2642780351
845	0.2642518078
846	0.2637653155
847	0.2637123408
848	0.2633258229
849	0.2628964425
850	0.2627830031
851	0.2625758201
852	0.2622388897
853	0.2619509186
854	0.2617433913
855	0.2616697516
856	0.2612352543
857	0.2607806326
858	0.26020028
859	0.2599301911
860	0.259449779
861	0.2592665002
862	0.2591894847
863	0.2590851349
864	0.2590286299
865	0.25897743
866	0.2584263102
867	0.2580927717
868	0.257918387
869	0.2577196249
870	0.2574776011
871	0.2571399009
872	0.2567643828
873	0.2567337089
874	0.2564187339
875	0.256392692
876	0.256028281
877	0.2559145652
878	0.255595745
879	0.2552957001
880	0.2551375452
881	0.2549224725
882	0.2545275584
883	0.2544558553
884	0.2544076391
885	0.2539848277
886	0.2533798228
887	0.2531673664
888	0.2529772163
889	0.2526405574
890	0.252355374
891	0.2520777397
892	0.2516831959
893	0.2514669323
894	0.2510392652
895	0.2510121798
896	0.2509907926
897	0.2509453021
898	0.2506567558
899	0.250230143
900	0.2499375619
901	0.2495637458
902	0.2492164481
903	0.2489741153
904	0.248242323
905	0.2480861299
906	0.2477160414
907	0.2474166893
908	0.2471459621
909	0.2468667082
910	0.2468202794
911	0.2464772186
912	0.2460579548
913	0.2456033308
914	0.245293567
915	0.245226059
916	0.245005526
917	0.2445750112
918	0.2441838039
919	0.2438048145
920	0.2434169099
921	0.2433644218
922	0.2429241924
923	0.2427724596
924	0.2427393706
925	0.2423069394
926	0.2418918186
927	0.2417122571
928	0.2415190456
929	0.2412250236
930	0.2408794113
931	0.240609502
932	0.2401495469
933	0.2400134691
934	0.2396410196
935	0.2394907991
936	0.2392840462
937	0.2388562147
938	0.2387960885
939	0.2384857446
940	0.23843427
941	0.2381096138
942	0.2380534234
943	0.2380267753
944	0.2379935029
945	0.2379603106
946	0.2375473234
947	0.2373678704
948	0.2373477995
949	0.2371739722
950	0.2368056549
951	0.2364732836
952	0.2364091328
953	0.2361798334
954	0.2361592092
955	0.2358328999
956	0.2354033072
957	0.2348994801
958	0.2346909382
959	0.2343850998
960	0.2341165626
961	0.2340678595
962	0.2336535915
963	0.2332670319
964	0.2332106401
965	0.2329852643
966	0.2327450995
967	0.2323312067
968	0.2319087923
969	0.2314941638
970	0.2310344093
971	0.2307314853
972	0.2301944642
973	0.2296517602
974	0.2292480939
975	0.2292055068
976	0.2290429629
977	0.228992655
978	0.2287416489
979	0.2286698766
980	0.2284003231
981	0.2282000957
982	0.2280243077
983	0.22800378
984	0.2279517814
985	0.2276406748
986	0.2272642581
987	0.227009159
988	0.2266107761
989	0.2265473393
990	0.2262291916
991	0.2259717263
992	0.2256561857
993	0.2251791849
994	0.2248125412
995	0.2244048455
996	0.2241621038
997	0.2237453987
998	0.2237050409
999	0.2236202396
1000	0.2234667789
1001	0.2233534674
1002	0.2231467263
1003	0.2227037102
1004	0.2225754149
1005	0.2221465972
1006	0.2221242828
1007	0.2219044933
1008	0.2217288975
1009	0.2212430344
1010	0.2207899554
1011	0.2206205133
1012	0.2204007756
1013	0.2201834077
1014	0.219762666
1015	0.2195781009
1016	0.2195578551
1017	0.2192106872
1018	0.2189306001
1019	0.2186449143
1020	0.2185701581
1021	0.2185288243
1022	0.2182964321
1023	0.2179427623
1024	0.2176141614
1025	0.2174802549
1026	0.2174051361
1027	0.2173860338
1028	0.2171467026
1029	0.216891154
1030	0.2164470516
1031	0.2160711686
1032	0.2156211462
1033	0.2154440128
1034	0.2151091307
1035	0.2150686073
1036	0.2146709698
1037	0.2143959062
1038	0.2143088643
1039	0.21405116
1040	0.2140272524
1041	0.2139183594
1042	0.2137029568
1043	0.2134808194
1044	0.2131634031
1045	0.2128986674
1046	0.2126929231
1047	0.2123811939
1048	0.2119351327
1049	0.2114849612
1050	0.2113205909
1051	0.2112800505
1052	0.2112399844
1053	0.2108562645
1054	0.2106132551
1055	0.2104750975
1056	0.2100209121
1057	0.2100009266
1058	0.2097666732
1059	0.209555565
1060	0.2091699859
1061	0.2091403554
1062	0.2088133186
1063	0.208475062
1064	0.2084440086
1065	0.2081485981
1066	0.2081296874
1067	0.2080662567
1068	0.2076959991
1069	0.207641387
1070	0.2074323105
1071	0.2070834956
1072	0.2069656192
1073	0.2067262751
1074	0.2066230026
1075	0.2062722398
1076	0.2060360207
1077	0.2057116464
1078	0.2056853935
1079	0.2052438055
1080	0.2052033543
1081	0.2047610225
1082	0.2046648531
1083	0.2043522334
1084	0.2042693969
1085	0.2040796924
1086	0.203790607
1087	0.2033290011
1088	0.2031235672
1089	0.2029147552
1090	0.2026025821
1091	0.2021605008
1092	0.2017837639
1093	0.2015448535
1094	0.2014872426
1095	0.2012888626
1096	0.2009739193
1097	0.2008245736
1098	0.2006852189
1099	0.2005416074
1100	0.2002662467
1101	0.1999180666
1102	0.1995057683
1103	0.1989456552
1104	0.1986895174
1105	0.1984221039
1106	0.1981613902
1107	0.1979216681
1108	0.1976770169
1109	0.1973635891
1110	0.1971167013
1111	0.1970736565
1112	0.1968211276
1113	0.1966080519
1114	0.1963208635
1115	0.1962961497
1116	0.1961499076
1117	0.1959287141
1118	0.1957673457
1119	0.1957401564
1120	0.1953866063
1121	0.1948497387
1122	0.1948216851
1123	0.194506198
1124	0.1941774165
1125	0.193980372
1126	0.1937853086
1127	0.1936714637
1128	0.1935718391
1129	0.1932859779
1130	0.1930616286
1131	0.1930361172
1132	0.1928006998
1133	0.192525037
1134	0.1924981345
1135	0.1924692085
1136	0.1924316849
1137	0.1922781956
1138	0.1920623743
1139	0.1919535626
1140	0.1917218832
1141	0.1915206434
1142	0.1915054188
1143	0.1911224768
1144	0.1910829896
1145	0.1909904935
1146	0.19093414
1147	0.1909200516
1148	0.190696415
1149	0.1904612484
1150	0.1904239311
1151	0.1900749203
1152	0.1899311524
1153	0.1896037794
1154	0.1895709301
1155	0.189275916
1156	0.1891151425
1157	0.188811899
1158	0.188795827
1159	0.1886988358
1160	0.1884869775
1161	0.18828696
1162	0.1881097828
1163	0.1879062547
1164	0.1874458074
1165	0.1871836491
1166	0.1870021417
1167	0.1869769336
1168	0.1869471292
1169	0.1869049707
1170	0.1865463591
1171	0.1863406715
1172	0.1861372117
1173	0.1860887084
1174	0.1857505677
1175	0.1855821066
1176	0.1855706189
1177	0.1854826648
1178	0.1852885493
1179	0.1851763769
1180	0.1848851454
1181	0.1847029822
1182	0.1844313497
1183	0.1841041573
1184	0.184070663
1185	0.183959496
1186	0.1837540028
1187	0.1834598396
1188	0.1834307397
1189	0.1832234799
1190	0.182978443
1191	0.1829413794
1192	0.182637168
1193	0.1824415305
1194	0.1823940497
1195	0.1823393613
1196	0.182053064
1197	0.1818210682
1198	0.1816541518
1199	0.1815074148
1200	0.1814273385
1201	0.181398937
1202	0.1810690937
1203	0.1807665203
1204	0.1807006273
1205	0.1804242929
1206	0.1801038057
1207	0.1799493932
1208	0.1799204456
1209	0.179771805
1210	0.1795055959
1211	0.1794651289
1212	0.1792867089
1213	0.1791278018
1214	0.178914586
1215	0.1787162556
1216	0.1786476833
1217	0.1785356034
1218	0.1781843488
1219	0.1778623259
1220	0.1776232489
1221	0.177479804
1222	0.1773313402
1223	0.1771780324
1224	0.1769341583
1225	0.176672626
1226	0.1763776017
1227	0.1760068199
1228	0.1759591932
1229	0.175940157
1230	0.1759213353
1231	0.1755867062
1232	0.175175754
1233	0.1750980397
1234	0.1747573394
1235	0.1744772027
1236	0.1741821626
1237	0.1741407465
1238	0.1739416419
1239	0.1739113724
1240	0.1736325373
1241	0.1733872207
1242	0.1731957851
1243	0.1729581813
1244	0.172948816
1245	0.1726314244
1246	0.1725985306
1247	0.1722635533
1248	0.1721002411
1249	0.1719377034
1250	0.1716913123
1251	0.1714157914
1252	0.1711760458
1253	0.1711560968
1254	0.1709075636
1255	0.1705658901
1256	0.1703897615
1257	0.1702424927
1258	0.1699351631
1259	0.1697893984
1260	0.1695215602
1261	0.1693131391
1262	0.1692146149
1263	0.1689845333
1264	0.1687300486
1265	0.1684850223
1266	0.1684645945
1267	0.1681564389
1268	0.1678931579
1269	0.1678626332
1270	0.1678395614
1271	0.1676294787
1272	0.1674054796
1273	0.1670835266
1274	0.1670448106
1275	0.1669284973
1276	0.1666766973
1277	0.1664130909
1278	0.1663837992
1279	0.1660829968
1280	0.1659971739
1281	0.1658275768
1282	0.1657048569
1283	0.1656805546
1284	0.165658997
1285	0.1656247385
1286	0.1656021557
1287	0.1655745016
1288	0.1654037335
1289	0.1651866703
1290	0.1651307341
1291	0.1649360841
1292	0.1647561461
1293	0.1645736631
1294	0.1643628643
1295	0.1643395735
1296	0.1643104448
1297	0.1640894077
1298	0.1638641522
1299	0.1636321735
1300	0.1635151437
1301	0.1634977982
1302	0.1632945757
1303	0.1631186886
1304	0.1630181989
1305	0.1628422173
1306	0.162716074
1307	0.1624912387
1308	0.1624500291
1309	0.162342443
1310	0.1622364004
1311	0.1621368646
1312	0.1620264492
1313	0.1618740581
1314	0.1616510854
1315	0.161527962
1316	0.1614475706
1317	0.1614175239
1318	0.1612159957
1319	0.1611220954
1320	0.1609519167
1321	0.1606860484
1322	0.160660821
1323	0.1604207675
1324	0.1602349343
1325	0.1600266267
1326	0.1599313586
1327	0.159913865
1328	0.1597878156
1329	0.1597055829
1330	0.1595058174
1331	0.1593758728
1332	0.1592309297
1333	0.1590313794
1334	0.1587608178
1335	0.1585846637
1336	0.1582521682
1337	0.1580232507
1338	0.1579408832
1339	0.1579189793
1340	0.1576118622
1341	0.157488451
1342	0.1572166905
1343	0.1572066792
1344	0.1569506879
1345	0.1569227131
1346	0.1567899512
1347	0.1565620063
1348	0.1563786332
1349	0.1563557126
1350	0.1562539601
1351	0.1559439897
1352	0.155906171
1353	0.1557500081
1354	0.155525522
1355	0.1552499383
1356	0.1550641581
1357	0.1548011835
1358	0.1547318286
1359	0.1547117689
1360	0.1544741955
1361	0.154374149
1362	0.1541709872
1363	0.1540060984
1364	0.1538297483
1365	0.1536891792
1366	0.153568028
1367	0.1533263807
1368	0.1533050712
1369	0.1531131062
1370	0.1529336757
1371	0.1528316837
1372	0.1525144828
1373	0.1523330887
1374	0.1523112834
1375	0.1521358106
1376	0.1521177103
1377	0.151971241
1378	0.1516982858
1379	0.1515467096
1380	0.1515172705
1381	0.1512833452
1382	0.1511136971
1383	0.1511026675
1384	0.1508650758
1385	0.1507412579
1386	0.1507222707
1387	0.1507067377
1388	0.1503864318
1389	0.1502027232
1390	0.1501440071
1391	0.1499440667
1392	0.1496887328
1393	0.1494899693
1394	0.1493188985
1395	0.149162617
1396	0.1491450868
1397	0.1488552099
1398	0.1488313339
1399	0.1485852074
1400	0.1484718711
1401	0.1484130109
1402	0.1481894976
1403	0.1479183628
1404	0.1478832253
1405	0.1478636648
1406	0.147789314
1407	0.1476193982
1408	0.1474014924
1409	0.1472373887
1410	0.1471933809
1411	0.1470548843
1412	0.146846961
1413	0.1465672318
1414	0.1465446269
1415	0.1463797779
1416	0.1461638723
1417	0.1459443028
1418	0.1457616931
1419	0.1455029932
1420	0.1454811815
1421	0.1452819148
1422	0.1449608857
1423	0.144829281
1424	0.1448078882
1425	0.1446442037
1426	0.1446253215
1427	0.1446022445
1428	0.1443087953
1429	0.1441857043
1430	0.143982214
1431	0.1437294955
1432	0.1437134567
1433	0.143532863
1434	0.1434396552
1435	0.1434263157
1436	0.1432880345
1437	0.1430658402
1438	0.1429302137
1439	0.1428089577
1440	0.1426143921
1441	0.1426028486
1442	0.1425911392
1443	0.1425759489
1444	0.1425636621
1445	0.1423826636
1446	0.1422550479
1447	0.1420748816
1448	0.1419037678
1449	0.1416983314
1450	0.1416788561
1451	0.1414928854
1452	0.1412744138
1453	0.1410917549
1454	0.1408815604
1455	0.1408650543
1456	0.1407903996
1457	0.1405781885
1458	0.1405648187
1459	0.140386277
1460	0.1401077199
1461	0.1398855339
1462	0.1398687858
1463	0.1397137021
1464	0.1395011074
1465	0.1394616929
1466	0.1392533263
1467	0.1391698106
1468	0.1391089866
1469	0.1390155329
1470	0.1387563579
1471	0.1387332227
1472	0.1385787457
1473	0.1384109738
1474	0.138217679
1475	0.1380390207
1476	0.137946279
1477	0.1378298239
1478	0.1378157876
1479	0.1376422458
1480	0.1375898772
1481	0.1375544204
1482	0.1374397145
1483	0.1371740546
1484	0.1370277354
1485	0.1367595587
1486	0.1366782491
1487	0.1365522103
1488	0.1364644638
1489	0.1363133521
1490	0.1362879431
1491	0.1360512847
1492	0.135962235
1493	0.1358889927
1494	0.135716111
1495	0.1354692442
1496	0.135210482
1497	0.135192081
1498	0.135159699
1499	0.1349682248
1500	0.1347825674
1501	0.1346928722
1502	0.1345269921
1503	0.1343484193
1504	0.1341529182
1505	0.1341231038
1506	0.1339484666
1507	0.1338752953
1508	0.1336832497
1509	0.1334540749
1510	0.1334404135
1511	0.133413146
1512	0.1333996678
1513	0.1332527796
1514	0.1329519348
